timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1548972849552,1049,Http Request /web/ricardo.funke/support,200,OK,Thread Group 1-12,text,true,,56763,761,50,50,https://web.liferay.com/sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fweb%2Fricardo.funke%2Fsupport,349,0,67
1548972849552,349,Http Request /web/ricardo.funke/support-0,301,Moved Permanently,Thread Group 1-12,,true,,530,144,50,50,https://www.liferay.com/web/ricardo.funke/support,349,0,67
1548972849901,311,Http Request /web/ricardo.funke/support-1,302,Found,Thread Group 1-12,text,true,,554,144,50,50,https://web.liferay.com/web/ricardo.funke/support,311,0,208
1548972850212,115,Http Request /web/ricardo.funke/support-2,302,Found,Thread Group 1-12,text,true,,694,191,50,50,https://web.liferay.com/c/portal/login?redirect=%2Fweb%2Fricardo.funke%2Fsupport&p_l_id=52010809,115,0,0
1548972850327,274,Http Request /web/ricardo.funke/support-3,200,OK,Thread Group 1-12,text,true,,54985,282,50,50,https://web.liferay.com/sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fweb%2Fricardo.funke%2Fsupport,208,0,0
1548972849354,1249,Http Request /sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/login&p_p_id=58&p_p_lifecycle=0&_58_redirect=/c/portal/saml/sso,404,Not Found,Thread Group 1-2,text,false,Test failed: code expected to match /200/,231135,264,50,50,https://www.liferay.com/sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/login&p_p_id=58&p_p_lifecycle=0&_58_redirect=/c/portal/saml/sso,881,0,75
1548972849575,1141,Http Request /careers,200,OK,Thread Group 1-13,text,true,,182724,126,50,50,https://www.liferay.com/careers,836,0,60
1548972849434,1346,Http Request /group/customer,200,OK,Thread Group 1-6,text,true,,125376,517,50,50,https://help.liferay.com/hc/en-us,401,0,56
1548972849434,401,Http Request /group/customer-0,301,Moved Permanently,Thread Group 1-6,,true,,519,133,50,50,https://www.liferay.com/group/customer,401,0,56
1548972849836,275,Http Request /group/customer-1,301,Moved Permanently,Thread Group 1-6,text,true,,494,133,50,50,https://web.liferay.com/group/customer,275,0,209
1548972850111,450,Http Request /group/customer-2,301,Moved Permanently,Thread Group 1-6,text,true,,2033,123,50,50,https://help.liferay.com/hc/,450,0,120
1548972850561,219,Http Request /group/customer-3,200,OK,Thread Group 1-6,text,true,,122330,128,50,50,https://help.liferay.com/hc/en-us,192,0,0
1548972849595,1286,Http Request /sign-in,404,Not Found,Thread Group 1-14,text,false,Test failed: code expected to match /200/,222688,126,50,50,https://www.liferay.com/sign-in,816,0,61
1548972849514,1509,Http Request /products/dxp,200,OK,Thread Group 1-10,text,true,,286886,131,50,50,https://www.liferay.com/products/dxp,1122,0,72
1548972849616,1520,Http Request /blog/en-us/digital-strategy/16-awesome-web-portal-examples,200,OK,Thread Group 1-15,text,true,,317128,177,50,50,https://www.liferay.com/blog/en-us/digital-strategy/16-awesome-web-portal-examples,1140,0,52
1548972849698,1439,Http Request /group/customer/dxp,200,OK,Thread Group 1-19,text,true,,129318,572,50,50,https://help.liferay.com/hc/en-us/categories/360000867932,339,0,56
1548972849698,339,Http Request /group/customer/dxp-0,301,Moved Permanently,Thread Group 1-19,,true,,523,137,50,50,https://www.liferay.com/group/customer/dxp,339,0,56
1548972850038,289,Http Request /group/customer/dxp-1,301,Moved Permanently,Thread Group 1-19,text,true,,540,137,50,50,https://web.liferay.com/group/customer/dxp,289,0,208
1548972850328,285,Http Request /group/customer/dxp-2,301,Moved Permanently,Thread Group 1-19,text,true,,2081,146,50,50,https://help.liferay.com/hc/categories/360000867932,285,0,75
1548972850613,524,Http Request /group/customer/dxp-3,200,OK,Thread Group 1-19,text,true,,126174,152,50,50,https://help.liferay.com/hc/en-us/categories/360000867932,491,0,0
1548972849373,1848,Http Request /downloads,200,OK,Thread Group 1-3,text,true,,193956,272,50,50,https://www.liferay.com/products/dxp/30-day-trial,403,0,70
1548972849373,403,Http Request /downloads-0,301,Moved Permanently,Thread Group 1-3,text,true,,918,128,50,50,https://www.liferay.com/downloads,403,0,70
1548972849776,1445,Http Request /downloads-1,200,OK,Thread Group 1-3,text,true,,193038,144,50,50,https://www.liferay.com/products/dxp/30-day-trial,1142,0,0
