timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1548915498231,936,Http Request /resources,503,Service Unavailable,Thread Group 1-9,text,false,Test failed: code expected to match /200/,291,132,10,10,https://www-prd.liferay.com/resources,935,0,868
1548915497527,1641,Http Request /,503,Service Unavailable,Thread Group 1-1,text,false,Test failed: code expected to match /200/,291,123,10,10,https://www-prd.liferay.com/,1640,0,1572
1548915497730,1437,Http Request /es/home,503,Service Unavailable,Thread Group 1-4,text,false,Test failed: code expected to match /200/,291,130,10,10,https://www-prd.liferay.com/es/home,1436,0,1368
1548915497528,1639,Http Request /sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/login&p_p_id=58&p_p_lifecycle=0&_58_redirect=/c/portal/saml/sso,503,Service Unavailable,Thread Group 1-2,text,false,Test failed: code expected to match /200/,291,268,10,10,https://www-prd.liferay.com/sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/login&p_p_id=58&p_p_lifecycle=0&_58_redirect=/c/portal/saml/sso,1638,0,1570
1548915497628,1705,Http Request /downloads,503,Service Unavailable,Thread Group 1-3,text,false,Test failed: code expected to match /200/,810,428,10,10,https://www-prd.liferay.com/products/dxp/30-day-trial,1538,0,1469
1548915497628,1538,Http Request /downloads-0,301,Moved Permanently,Thread Group 1-3,text,true,,388,132,10,10,https://www-prd.liferay.com/downloads,1538,0,1469
1548915499169,108,Http Request /downloads-1,302,Found,Thread Group 1-3,,true,,131,148,10,10,http://www-prd.liferay.com/products/dxp/30-day-trial,108,0,54
1548915499277,56,Http Request /downloads-2,503,Service Unavailable,Thread Group 1-3,text,false,,291,148,10,10,https://www-prd.liferay.com/products/dxp/30-day-trial,56,0,0
1548915499177,229,Http Request /sign-in,503,Service Unavailable,Thread Group 1-9,text,false,Test failed: code expected to match /200/,291,130,10,10,https://www-prd.liferay.com/sign-in,229,0,173
1548915499176,231,Http Request /web/ricardo.funke/support,503,Service Unavailable,Thread Group 1-4,text,false,Test failed: code expected to match /200/,291,148,10,10,https://www-prd.liferay.com/web/ricardo.funke/support,231,0,176
1548915499407,226,Http Request /downloads-community,503,Service Unavailable,Thread Group 1-4,text,false,Test failed: code expected to match /200/,291,142,10,10,https://www-prd.liferay.com/downloads-community,226,0,170
1548915499634,229,Http Request /company/our-story,503,Service Unavailable,Thread Group 1-4,text,false,Test failed: code expected to match /200/,291,140,10,10,https://www-prd.liferay.com/company/our-story,229,0,173
1548915498030,2541,Http Request /marketplace,200,OK,Thread Group 1-7,text,true,,116130,264,10,10,https://web.liferay.com/marketplace,1142,0,1069
1548915498030,1142,Http Request /marketplace-0,302,,Thread Group 1-7,,true,,356,134,10,10,https://www-prd.liferay.com/marketplace,1142,0,1069
1548915499173,1398,Http Request /marketplace-1,200,OK,Thread Group 1-7,text,true,,115774,130,10,10,https://web.liferay.com/marketplace,1199,0,236
